problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
10FOLDTRLS,TRUST_REGION_SUBPROBLEM_ERROR,84.02825093269348,-1.4136222648432208e15,80,80,80,0
ARGLINA,OPTIMAL,0.1511549949645996,199.99999999999977,2,2,1,0
ARGLINB,TRUST_REGION_SUBPROBLEM_ERROR,0.27562594413757324,99.62546815818992,2,2,2,0
ARGLINC,TRUST_REGION_SUBPROBLEM_ERROR,0.2678349018096924,101.12547051999023,2,2,2,0
ARGTRIGLS,OPTIMAL,0.44637393951416016,3.2264951917983985e-15,9,9,8,0
ARWHEAD,OPTIMAL,0.18899178504943848,0.0,7,7,6,0
BA-L21LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BA-L49LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BA-L73LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BDQRTIC,OPTIMAL,0.4761519432067871,20006.256878434808,11,11,10,0
BOX,OPTIMAL,3.347259044647217,-1864.5379265654951,12,10,9,0
BOXPOWER,OPTIMAL,3.2297518253326416,1.707913479673369e-7,15,15,14,0
BROWNAL,OPTIMAL,0.7787339687347412,2.703498207186375e-15,22,13,12,0
BROYDN3DLS,OPTIMAL,0.18479180335998535,3.096154472780806e-17,6,6,5,0
BROYDN7D,OPTIMAL,51.543272972106934,1958.7511315325366,536,242,239,0
BROYDNBDLS,OPTIMAL,1.9745538234710693,2.4296257347969824e-18,33,17,15,0
BRYBND,OPTIMAL,1.9769179821014404,2.4296257347969824e-18,33,17,15,0
CHAINWOO,OPTIMAL,23.046696186065674,16.595942776251505,1344,608,605,0
COATING,OPTIMAL,0.2327871322631836,0.5054986186685515,44,26,23,0
COSINE,OPTIMAL,407.94543719291687,-2461.97656804592,5429,4779,4546,0
CRAGGLVY,OPTIMAL,19.12612509727478,1688.2153097145647,18,17,16,0
CURLY10,OPTIMAL,3.9361660480499268,-1.0031629024131879e6,23,14,13,0
CURLY20,OPTIMAL,5.082013845443726,-1.0031629024131879e6,17,12,11,0
CURLY30,OPTIMAL,12.964327096939087,-1.0031629024131879e6,25,15,14,0
CYCLIC3LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
CYCLOOCFLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
DIXMAANB,OPTIMAL,1.0762991905212402,1.0,20,12,11,0
DIXMAANC,OPTIMAL,1.1740169525146484,1.0000000000228546,21,12,11,0
DIXMAAND,OPTIMAL,2.091046094894409,1.0,35,18,17,0
DIXMAANE1,OPTIMAL,0.8499698638916016,1.0,15,9,8,0
DIXMAANF,OPTIMAL,2.8780229091644287,1.0,47,23,22,0
DIXMAANG,OPTIMAL,2.881559133529663,1.0,49,24,23,0
DIXMAANH,OPTIMAL,3.255875825881958,1.0000000000000162,54,27,25,0
DIXMAANI1,OPTIMAL,0.8900268077850342,1.0,17,10,9,0
DIXMAANJ,OPTIMAL,4.570309162139893,1.0000000001808742,74,34,33,0
DIXMAANK,OPTIMAL,4.15871787071228,1.0000000020507955,66,30,29,0
