problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
10FOLDTRLS,TRUST_REGION_SUBPROBLEM_ERROR,8.540945053100586,-2.1062843345789836e16,82,82,82,573
ARGLINA,OPTIMAL,0.1532139778137207,199.99999999999977,2,2,1,1
ARGLINB,STEP_SIZE_LIMIT,0.6221270561218262,99.62546815915417,28,7,6,107
ARGLINC,STEP_SIZE_LIMIT,0.4167289733886719,101.12547050956422,24,4,4,84
ARGTRIGLS,OPTIMAL,0.23568010330200195,3.2231834130701116e-18,5,5,4,9
ARWHEAD,OPTIMAL,0.17792201042175293,0.0,7,7,6,6
BA-L21LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BA-L49LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BA-L73LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BDQRTIC,OPTIMAL,0.2097170352935791,20006.256878434815,11,11,10,21
BOX,OPTIMAL,0.2600531578063965,-1864.5379265657348,12,10,9,38
BOXPOWER,OPTIMAL,0.333050012588501,1.8136459120165984e-7,19,19,18,28
BROWNAL,OPTIMAL,0.226654052734375,7.01522898755848e-14,5,5,4,5
BROYDN3DLS,OPTIMAL,0.17424297332763672,3.096154472780806e-17,6,6,5,5
BROYDN7D,OPTIMAL,2.096329927444458,1496.54577395969,192,88,87,1723
BROYDNBDLS,OPTIMAL,0.3584709167480469,2.2414526144947234e-23,19,12,11,120
BRYBND,OPTIMAL,0.3597841262817383,2.2414526144947234e-23,19,12,11,120
CHAINWOO,OPTIMAL,5.618787050247192,1.0,1396,633,632,11326
COATING,OPTIMAL,0.17860007286071777,0.5054986186685092,39,24,23,268
COSINE,OPTIMAL,29.23190212249756,-3889.0683604018072,4158,3454,3453,22976
CRAGGLVY,OPTIMAL,0.20528697967529297,1688.2153097145663,14,14,13,14
CURLY10,OPTIMAL,0.8982300758361816,-1.0031629024131879e6,25,15,14,189
CURLY20,OPTIMAL,1.6736319065093994,-1.0031629024131879e6,25,15,14,167
CURLY30,OPTIMAL,2.4987759590148926,-1.0031629024131879e6,18,12,11,117
CYCLIC3LS,OPTIMAL,83.26657009124756,7.632413418364716e-15,822,607,606,4379
CYCLOOCFLS,OPTIMAL,15.999245166778564,6.621906797977001e-15,163,74,73,1723
DIXMAANB,OPTIMAL,0.22044706344604492,1.0,14,9,8,106
DIXMAANC,OPTIMAL,0.2896158695220947,1.0000000000001366,29,15,14,258
DIXMAAND,OPTIMAL,0.3200111389160156,1.0000000000080127,36,18,17,325
DIXMAANE1,OPTIMAL,0.21023106575012207,1.0,23,15,14,150
DIXMAANF,OPTIMAL,0.421450138092041,1.000000000009443,53,25,24,518
DIXMAANG,OPTIMAL,0.4142951965332031,1.0000000000009361,50,25,24,500
DIXMAANH,OPTIMAL,0.4076039791107178,1.0000000009024876,46,22,21,486
DIXMAANI1,OPTIMAL,0.19554901123046875,1.0,15,10,9,99
DIXMAANJ,OPTIMAL,0.4469001293182373,1.0000000134090083,58,27,26,586
DIXMAANK,OPTIMAL,0.4625430107116699,1.0000000000000915,60,28,27,625
DIXMAANL,OPTIMAL,0.5041830539703369,1.0000000000036349,67,31,30,691
DIXMAANM1,OPTIMAL,0.20449209213256836,1.0,19,11,10,133
DIXMAANN,OPTIMAL,0.4412808418273926,1.0000000141149883,59,27,26,581
DIXMAANO,OPTIMAL,0.5123701095581055,1.0000005301235213,68,31,30,715
DIXMAANP,OPTIMAL,0.5390288829803467,1.0000002758030309,79,37,36,793
DIXON3DQ,OPTIMAL,0.18985795974731445,3.0708433917430744e-23,4,4,3,15
DQDRTIC,OPTIMAL,0.16173911094665527,1.9806285734791293e-25,2,2,1,1
DQRTIC,OPTIMAL,0.22590899467468262,1.5463203490974303e-7,36,36,35,128
EDENSCH,OPTIMAL,0.17244911193847656,12003.284592020764,13,13,12,12
EG2,OPTIMAL,0.16676688194274902,-998.947393300945,4,4,3,4
EIGENALS,OPTIMAL,934.2650420665741,1.8998926703315855e-9,394,176,175,5494
EIGENBLS,OPTIMAL,1063.9689631462097,5.1050171373261396e-8,862,483,482,4891
EIGENCLS,OPTIMAL,1616.747349023819,1.602826580514177e-12,1015,500,499,8251
ENGVAL1,OPTIMAL,0.1771240234375,5548.668419416185,8,8,7,7
EXTROSNB,OPTIMAL,0.6036028861999512,3.674599660500506e-7,812,518,517,3242
FLETBV3M,OPTIMAL,0.7884430885314941,-229642.69937943388,115,106,105,1037
FLETCBV2,OPTIMAL,0.020388126373291016,-0.5002681698025423,1,1,1,0
FLETCBV3,ITERATION_LIMIT,489.7248730659485,-3.3160887900474e9,100001,100001,100000,922987
FLETCHBV,ITERATION_LIMIT,489.26327300071716,-3.308848001144194e17,100001,100001,100000,923186
FLETCHCR,OPTIMAL,2.599308967590332,1.5164978477957693e-20,3480,1940,1939,15781
FMINSRF2,OPTIMAL,2.9008069038391113,1.000023343204729,114,57,56,702
FMINSURF,OPTIMAL,1124.0653178691864,1.000000000000393,119,60,59,715
FREUROTH,OPTIMAL,0.18732786178588867,608159.1890463781,8,8,7,13
GENHUMPS,OPTIMAL,190.2647430896759,5.322274446498598e-13,31945,29391,29390,378543
GENROSE,OPTIMAL,0.5311009883880615,1.0,942,430,429,6050
INDEF,TRUST_REGION_SUBPROBLEM_ERROR,0.5519108772277832,-2.629642135719092e13,16,16,16,114
INDEFM,OPTIMAL,1.6084189414978027,-1.0049998383487852e7,11,11,10,72
INTEQNELS,OPTIMAL,3.161123037338257,1.4865393340007616e-20,4,4,3,3
JIMACK,OPTIMAL,6.220348834991455,0.866793295287137,30,22,21,245
KSSLS,OPTIMAL,71.83749008178711,1.6339741998274833e-20,9,9,8,8
LIARWHD,OPTIMAL,0.18477106094360352,6.3807754778159845e-22,13,13,12,12
LRA9A,OPTIMAL,0.27185583114624023,0.3834896898183104,13,7,6,79
LRW1A,OPTIMAL,6.156332969665527,0.4697116201081351,1009,510,509,8236
LRW8A,OPTIMAL,2.165879964828491,2.422291060294287,43,23,22,315
LUKSAN11LS,OPTIMAL,0.20303988456726074,1.164625824405244e-15,564,380,379,1824
LUKSAN15LS,OPTIMAL,0.17155790328979492,3.5696970494344344,24,13,12,197
LUKSAN16LS,OPTIMAL,0.16847586631774902,3.5696970494344287,11,8,7,56
LUKSAN17LS,OPTIMAL,0.17111515998840332,0.49316129032256895,22,19,18,101
LUKSAN21LS,OPTIMAL,0.16886591911315918,3.1699080617349546e-14,32,18,17,184
LUKSAN22LC,OPTIMAL,0.16136693954467773,873.9404775269419,24,18,17,48
LUKSAN22LS,OPTIMAL,0.1615009307861328,868.9404775269421,24,18,17,38
MANCINO,OPTIMAL,0.13085699081420898,1.4155219109089968e-21,23,13,12,193
MODBEALE,OPTIMAL,0.28055906295776367,2.8610197559381826e-15,8,8,7,10
MOREBV,OPTIMAL,0.020173072814941406,1.0395423971692418e-11,1,1,1,0
MSQRTALS,OPTIMAL,11.30790090560913,1.8947953504547007e-18,72,37,36,589
MSQRTBLS,OPTIMAL,8.634159088134766,2.0970225404854595e-14,56,29,28,456
NCB20,OPTIMAL,6.4752960205078125,-1457.9610800058185,169,78,77,1521
NCB20B,OPTIMAL,1.0717229843139648,7351.30058494637,27,16,15,194
NONCVXU2,OPTIMAL,5782.8330590724945,11584.442280177002,4289,1938,1937,38984
NONCVXUN,OPTIMAL,108.21099209785461,11599.206304070582,4042,1831,1830,36874
NONDIA,OPTIMAL,0.18278193473815918,2.529455044995371e-13,7,7,6,23
NONDQUAR,OPTIMAL,0.4248208999633789,6.296842784179594e-6,60,33,32,358
NONMSQRT,TRUST_REGION_SUBPROBLEM_ERROR,277.11205792427063,708.630543566397,1465,1377,1377,7460
OSCIGRAD,OPTIMAL,1.329699993133545,6.275880095745307e-24,12,11,10,33
OSCIPATH,OPTIMAL,0.16533303260803223,0.9999666655201663,3,3,2,4
PATTERNLS,OPTIMAL,347.88191294670105,1.3050942748562515e-8,64,43,42,447
PENALTY1,OPTIMAL,3.1279149055480957,0.009686175432452086,52,42,41,71
PENALTY2,OPTIMAL,0.03143191337585449,4.711627727552183e13,11,11,10,10
PENALTY3,OPTIMAL,0.38236498832702637,0.000997138977050878,24,16,15,159
POWELLSG,OPTIMAL,0.18452906608581543,4.2185697780289144e-8,19,19,18,18
POWER,OPTIMAL,430.08746099472046,2.170303760844304e-11,38,38,37,37
QING,OPTIMAL,0.1660630702972412,3.3722710830021684e-22,23,14,13,137
QUARTC,OPTIMAL,0.21961307525634766,1.5463203490974303e-7,36,36,35,128
SBRYBND,OPTIMAL,0.44722604751586914,1.5990421652598373e-12,26,19,18,187
SCHMVETT,OPTIMAL,0.18574285507202148,-14994.0,5,5,4,9
SCOSINE,TRUST_REGION_SUBPROBLEM_ERROR,2.3862459659576416,-4948.547409571221,282,268,268,3245
SCURLY10,OPTIMAL,4.873848915100098,-1.0031629024131879e6,137,88,87,1055
SCURLY20,OPTIMAL,10.56430697441101,-1.0031629024131879e6,131,89,88,937
SCURLY30,OPTIMAL,15.455817937850952,-1.0031629024131879e6,108,77,76,795
SENSORS,OPTIMAL,0.1856689453125,-1944.0,46,38,37,342
SINQUAD,OPTIMAL,0.26927804946899414,-6.757013757335708e6,36,16,15,175
SINQUAD2,OPTIMAL,0.9194178581237793,1.0407555194365222e-6,159,118,117,933
SPARSINE,OPTIMAL,192.93864703178406,1.45266334755592e-8,63,41,40,588
SPARSQUR,OPTIMAL,39.705317974090576,4.488230635883866e-9,23,23,22,22
SPIN2LS,OPTIMAL,0.17036819458007812,3.6767712438931306e-10,30,17,16,287
SPINLS,OPTIMAL,5.952802896499634,1.4242156075685631e-9,48,38,37,230
SPMSRTLS,OPTIMAL,0.3605210781097412,1.0244963617684519e-12,26,14,13,202
SROSENBR,OPTIMAL,0.19542288780212402,5.2963441280546616e-20,23,17,16,55
SSBRYBND,OPTIMAL,0.3885769844055176,9.160536576312345e-14,23,16,15,134
SSCOSINE,OPTIMAL,1.5813820362091064,-4964.13912578811,189,183,182,2183
TOINTGSS,OPTIMAL,0.1663060188293457,9.999999999860112,2,2,1,1
TQUARTIC,OPTIMAL,0.20464301109313965,1.8362002717920385e-14,13,11,10,65
TRIDIA,OPTIMAL,0.1799309253692627,3.6747109496709487e-25,3,3,2,11
VARDIM,OPTIMAL,0.05948495864868164,2.533290225573063e-24,30,30,29,29
VAREIGVL,OPTIMAL,58.26090884208679,1.176343670022097e-9,20,16,15,39
WOODS,OPTIMAL,0.29357004165649414,1.1725554539495478e-25,73,46,45,278
YATP1CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP1LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP2CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
